,verbatim_text
6103,"Flight attendants should be offering water throughout flight. Despite the proximity of the business class kitchen to my seat, just 4 rows away, I was instructed to traverse the remaining length of the plane, to the rear kitchen area, to receive water. When I got there, I was given one small, half-size water bottle. As a premium passenger, I expected to receive an average size, 500 ml water bottle upon boarding, which I did not, and did not appreciate having to walk through the length of the plane to receive water, and a small quantity at that. The middle kitchen was darkened and not set up for self service of drinks or snacks."
6104,I have a gluten allergy. there was no options for me to eat.
6105,Preordered first class meal and was not able to get it [meal] on board because there were not enough of that particular meal.
6106,"We did not receive anything. Short flight. But my husband loved the cookie waffle,caramel snack on our first flight."
6107,no.
6108,NA.
6109,No.
6110,Since when the passengers do not get any food on international flights?.
6111,"Given that it was a 5+ hour flight, I think you should charge an additional $10 (or whatever the cost is) and provide a full mean again. 1 small snack does not really work on these long flights."
6112,Wish there were complimentary snack.
6113,Cookies.
6114,More choices for food and wine. The Chardonnay is not great (and I had two different brands—neither very good) and no option for Sauv Blanc or Pinot Grigio.
6115,N/A.
6116,Offer meal for night flight.
6117,No.
6118,Serve better English tea.
6119,Need some Pepsi products.
6120,N/A.
6121,I asked for water in my water bottle. they served me 2 cups. Why not just pour it into my container?. Wasteful.
6122,No.
6123,Beverages offered: water or sparkling wine.
6124,No.
6125,Need to improve choice and quantity of vegetarian food.
6126,"The snack packet with potato sandwich, bhujia and Parle G biscuits is not upto par for an international flight ."
6127,"Need to offer sugar free, clear drinks such as Sprite Zero for people who can not drink colored soda's or soda with sugar."
6128,I think it would be nice to STILL offer a free cookie/ snack….
6129,No.
6130,No.
6131,No.
6132,"When the flight is 102 minutes late, thereby arriving just before midnight, I think it would have been appropriate to comp the beverages."
6133,The snacks are not enough.
6134,I had bottled water with me so it was not necessary to get an additional beverage.
6135,No.
6136,On the 8 hour flight we were only given a continental breakfast. had I known before I would have had or brought food!.
6137,Give Economy more than one breakfast option and make sure the fruit being served is actually ripe.
6138,It was offered on the short flight. I just did not have any.
6139,Good job!.
6140,Keep up with the great customer service.
6141,Perhaps more wine will be good.
6142,I chose the lamb and it was very well done and dry.
6143,"Business class. Was told upfront that they only had eggs, all French toast options taken in pre-order which I had not done. I do not eat eggs. Flight attendant arranged for me to have something from economy. At same time though turns out was also served croissant, fruit, and yogurt which would have been enough if I would been told I was not just getting “eggs”."
6144,"None ,no comment."
6145,Regular Lay's potatoes chips would be nice !.
6146,Tequila please. And the red wine was limited.
6147,No.
6148,It better has more choices.
6149,It was good.
6150,The green salad with green goddess dressing was outstanding. The Spanish wine was also especially nice.
6151,It was very tasty.
6152,No complaints about the food or beverage.
6153,Vegan options would be fantastic!.
6154,No.
6155,None.
6156,"Sorry... delete my answers, no snacks were made available from Van to Houston, only drinks."
6157,"Either of the preorder options would have been preferable to our onboard choice, and far better than the second option. Just give us a heads up when the options change. The meals were determined and loaded hours earlier."
6158,See my remarks at the beginning of the survey.
6159,No.
6160,"Appreciate the special strict vegetarian/vegan meal. Felt the quality of the entries were good. The breads provided, which I believe are a gluten free, are not that great. Pretty flavorless."
6161,No.
6162,Why UAL insists on spicing up a chicken entree to the point it burns your lips is puzzling. Some of us like a more neutral seasoning.
6163,My meal was in Polaris lounge which was exceptional way to pre-board.
6164,No snack.
6165,For the pre-landing snack/breakfast a piece of hand fruit would be a welcome addition. I really liked being able to purchase my drinks and have it charged to the pre-saved card in the app. Given that hard seltzers are so popular I was surprised that was not a beverage option but I still enjoyed my drinks.
